country,index,time,count,total_encounter_duration
USA,0,1910-01-01 00:00:00+00:00,2,0 days 00:04:00
USA,1,1911-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,2,1912-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,3,1913-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,4,1914-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,5,1915-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,6,1916-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,7,1917-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,8,1918-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,9,1919-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,10,1920-01-01 00:00:00+00:00,1,0 days 00:01:00
USA,11,1921-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,12,1922-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,13,1923-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,14,1924-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,15,1925-01-01 00:00:00+00:00,1,0 days 00:01:00
USA,16,1926-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,17,1927-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,18,1928-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,19,1929-01-01 00:00:00+00:00,1,0 days 00:01:00
USA,20,1930-01-01 00:00:00+00:00,1,0 days 00:20:00
USA,21,1931-01-01 00:00:00+00:00,2,0 days 00:31:00
USA,22,1932-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,23,1933-01-01 00:00:00+00:00,1,0 days 00:30:00
USA,24,1934-01-01 00:00:00+00:00,1,0 days 00:00:05
USA,25,1935-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,26,1936-01-01 00:00:00+00:00,1,0 days 00:03:00
USA,27,1937-01-01 00:00:00+00:00,2,0 days 00:10:10
USA,28,1938-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,29,1939-01-01 00:00:00+00:00,3,0 days 00:15:10
USA,30,1940-01-01 00:00:00+00:00,0,0 days 00:00:00
USA,31,1941-01-01 00:00:00+00:00,1,0 days 00:00:30
USA,32,1942-01-01 00:00:00+00:00,2,0 days 00:05:00
USA,33,1943-01-01 00:00:00+00:00,6,0 days 02:27:00
USA,34,1944-01-01 00:00:00+00:00,6,0 days 01:22:30
USA,35,1945-01-01 00:00:00+00:00,8,9 days 02:44:02
USA,36,1946-01-01 00:00:00+00:00,8,0 days 00:07:15
USA,37,1947-01-01 00:00:00+00:00,35,0 days 06:03:02
USA,38,1948-01-01 00:00:00+00:00,7,0 days 00:28:43
USA,39,1949-01-01 00:00:00+00:00,16,0 days 04:10:50
USA,40,1950-01-01 00:00:00+00:00,26,2 days 04:57:17.500000
USA,41,1951-01-01 00:00:00+00:00,17,0 days 07:01:55
USA,42,1952-01-01 00:00:00+00:00,44,1 days 02:29:34
USA,43,1953-01-01 00:00:00+00:00,31,0 days 08:07:49
USA,44,1954-01-01 00:00:00+00:00,49,0 days 06:08:07
USA,45,1955-01-01 00:00:00+00:00,28,0 days 09:43:40
USA,46,1956-01-01 00:00:00+00:00,43,0 days 07:58:59
USA,47,1957-01-01 00:00:00+00:00,69,0 days 16:33:18
USA,48,1958-01-01 00:00:00+00:00,44,14 days 19:05:52
USA,49,1959-01-01 00:00:00+00:00,47,0 days 14:18:08
USA,50,1960-01-01 00:00:00+00:00,58,0 days 17:58:57
USA,51,1961-01-01 00:00:00+00:00,44,4 days 20:39:10
USA,52,1962-01-01 00:00:00+00:00,68,0 days 13:31:57
USA,53,1963-01-01 00:00:00+00:00,78,5 days 15:49:08
USA,54,1964-01-01 00:00:00+00:00,86,0 days 18:19:48.500000
USA,55,1965-01-01 00:00:00+00:00,177,80 days 09:43:23
USA,56,1966-01-01 00:00:00+00:00,172,48 days 14:37:11
USA,57,1967-01-01 00:00:00+00:00,167,32 days 11:37:48
USA,58,1968-01-01 00:00:00+00:00,200,21 days 11:30:13
USA,59,1969-01-01 00:00:00+00:00,136,4 days 03:50:44
USA,60,1970-01-01 00:00:00+00:00,123,30 days 08:57:41
USA,61,1971-01-01 00:00:00+00:00,111,1 days 00:29:52
USA,62,1972-01-01 00:00:00+00:00,136,1 days 20:23:26
USA,63,1973-01-01 00:00:00+00:00,211,4 days 16:43:58
USA,64,1974-01-01 00:00:00+00:00,241,3 days 06:10:39.010000
USA,65,1975-01-01 00:00:00+00:00,283,7 days 12:41:10
USA,66,1976-01-01 00:00:00+00:00,251,9 days 13:21:29
USA,67,1977-01-01 00:00:00+00:00,235,113 days 02:44:33
USA,68,1978-01-01 00:00:00+00:00,297,68 days 04:05:16
USA,69,1979-01-01 00:00:00+00:00,214,5 days 01:00:37
USA,70,1980-01-01 00:00:00+00:00,215,2 days 18:34:44
USA,71,1981-01-01 00:00:00+00:00,151,2 days 20:24:08
USA,72,1982-01-01 00:00:00+00:00,162,5 days 00:05:48
